TILEID,LASTNIGHT,FIBER,CLUSTER
41771,20211218,4507,0
41771,20211218,4891,-1
24953,20220322,4733,0
20411,20210617,4891,0
11220,20211008,4912,0
40486,20220612,466,0
25277,20220516,3448,0
23490,20240107,4923,0
23794,20220218,2171,0
23037,20211024,4507,0
23037,20211024,4849,0
4368,20230411,4891,0
24173,20211219,466,0
20003,20230406,4738,0
20003,20230406,4912,0
22897,20231230,4733,0
22349,20230209,2171,0
20716,20221112,4891,0
25817,20220314,4733,0
25817,20220314,4738,0
25817,20220314,4849,0
42526,20240203,4849,0
23616,20230406,357,0
22397,20221008,4849,0
22397,20221008,4891,0
22397,20221008,4923,0
7351,20230324,4507,0
1452,20231212,4849,0
2678,20220531,4912,0
80730,20210322,3448,0
2679,20220312,3448,0
21816,20220511,466,0
41250,20220122,357,0
23865,20240219,3448,0
6931,20221125,357,0
22231,20210927,4891,0
22231,20210927,4912,0
25641,20211107,4733,0
25641,20211107,4912,0
41654,20220316,4507,0
24787,20220202,4738,0
23044,20211019,651,0
24909,20230615,2171,0
40074,20230408,651,-1
4263,20240216,4923,0
82406,20211118,357,-1
1833,20210604,651,0
11015,20220326,3448,0
40950,20230404,357,-1
22909,20230207,2171,0
7531,20221225,466,0
23355,20220413,4738,0
23355,20220413,4891,0
23678,20221011,651,0
22937,20230112,4923,0
22045,20230119,357,0
41549,20220423,4923,0
7225,20220228,4912,0
22342,20230408,4733,0
22342,20230408,4912,0
20638,20220414,651,0
23763,20220512,4733,0
23763,20220512,4738,0
23763,20220512,4923,0
25075,20220317,4891,0
25075,20220317,4912,0
25075,20220317,4923,0
1578,20210528,466,0
20561,20240130,2171,0
2761,20231004,4849,0
80653,20210115,4507,0
80653,20210115,4912,0
80653,20210115,4923,0
24339,20240320,4507,0
42723,20240402,3448,0
23354,20220309,4733,0
23354,20220309,4849,0
23354,20220309,4891,0
10836,20220104,4912,0
3189,20230113,651,0
42048,20231031,4738,0
23350,20220414,4912,0
40067,20220127,4891,0
40067,20220127,466,0
81088,20210404,4891,0
2414,20211013,4507,0
4338,20230416,4923,0
11418,20231216,466,0
27629,20240223,651,0
42640,20230202,2171,0
21224,20210923,4891,0
21224,20210923,4912,0
40497,20220613,651,0
21995,20220513,651,0
6406,20230909,4923,0
10305,20221016,4733,0
5688,20220322,357,0
60,20210417,651,0
25690,20211020,357,0
25690,20211020,466,0
25152,20221209,3448,0
9832,20211104,2171,0
23979,20230604,357,0
25153,20221209,4738,0
5541,20221030,4912,0
23560,20230324,4507,0
25742,20221111,2171,0
22974,20221030,4849,0
22974,20221030,4891,0
21191,20220510,651,0
22473,20220513,2171,0
25622,20230531,4923,0
22333,20230509,2171,0
9296,20211215,4891,0
21080,20230316,466,0
7799,20220915,4507,0
40084,20230529,4912,0
23448,20211114,357,0
7378,20230324,4923,0
22875,20221011,651,0
24964,20220213,4507,0
40533,20220113,2171,0
42706,20230308,3448,1
