TARGETID,TILEID,FIBER
39627557074636426,5568,229
39627574963344976,5568,1062
39627580940225496,5568,1102
39627580948613453,5568,1180
39627586929689114,5568,1192
39627604885505761,5568,2002
39627604914868090,5568,3285
39627598917014722,5568,3421
39627586963244013,5568,4089
39627586946471498,5568,4133
2714776606081024,5568,4158
39627569015820127,5568,4595
39627557091412763,5568,4608
39627569028405160,5568,4717
39627563059910042,5568,4813
39636353188630590,5568,4849
39627574988506917,5568,4891
39627580961196738,5568,4896
39627574988505805,5568,4899
39627569028399731,5568,4902
39627557091413368,5568,4925
39627557091414706,5568,4928
39627557091412980,5568,4934
