TARGETID,TILEID,FIBER
39627665245737396,11874,257
39627653208083913,11874,366
39627653208084344,11874,390
39627641170433102,11874,391
39627671251983002,11874,1018
39627683293826910,11874,1988
39627701392245056,11874,2196
39627695365035157,11874,2213
39627713484424620,11874,3068
39627695390197210,11874,3101
39627707453019711,11874,3196
39627677312745792,11874,3590
39627695398585405,11874,3623
39627695398585545,11874,3642
39627683331574199,11874,3880
39627683323184234,11874,3960
39627665266704486,11874,4032
39627671285533910,11874,4037
39627665262512615,11874,4041
616088411542913981,11874,4159
39627665266705263,11874,4284
39627671293921934,11874,4498
39627659226909282,11874,4565
39627659231106183,11874,4644
39627647197648409,11874,4754
39627665249928949,11874,4870
39627665249928738,11874,4873
39627665249927494,11874,4882
39627671268757894,11874,4889
616088411534524989,11874,4995
