TILEID,NIGHT,PETAL_FILE,WAVE_B,WAVE_R,WAVE_Z,WAVE_BRZ
10256,20211110,coadd-0-10256-thru20211110.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
10256,20211110,coadd-1-10256-thru20211110.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
10256,20211110,coadd-2-10256-thru20211110.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
10256,20211110,coadd-3-10256-thru20211110.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
10256,20211110,coadd-4-10256-thru20211110.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
10256,20211110,coadd-5-10256-thru20211110.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
10256,20211110,coadd-6-10256-thru20211110.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
10256,20211110,coadd-7-10256-thru20211110.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
10256,20211110,coadd-8-10256-thru20211110.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
10256,20211110,coadd-9-10256-thru20211110.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
2436,20211031,coadd-0-2436-thru20211031.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
2436,20211031,coadd-1-2436-thru20211031.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
2436,20211031,coadd-2-2436-thru20211031.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
2436,20211031,coadd-3-2436-thru20211031.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
2436,20211031,coadd-4-2436-thru20211031.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
2436,20211031,coadd-5-2436-thru20211031.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
2436,20211031,coadd-6-2436-thru20211031.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
2436,20211031,coadd-7-2436-thru20211031.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
2436,20211031,coadd-9-2436-thru20211031.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
5568,20211130,coadd-0-5568-thru20211130.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
5568,20211130,coadd-1-5568-thru20211130.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
5568,20211130,coadd-2-5568-thru20211130.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
5568,20211130,coadd-3-5568-thru20211130.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
5568,20211130,coadd-4-5568-thru20211130.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
5568,20211130,coadd-5-5568-thru20211130.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
5568,20211130,coadd-6-5568-thru20211130.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
5568,20211130,coadd-7-5568-thru20211130.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
5568,20211130,coadd-8-5568-thru20211130.fits,[3600.  3600.8 3601.6 ... 5798.4 5799.2 5800. ],[5760.  5760.8 5761.6 ... 7618.4 7619.2 7620. ],[7520.  7520.8 7521.6 ... 9822.4 9823.2 9824. ],[3600.  3600.8 3601.6 ... 9822.4 9823.2 9824. ]
